name,price,rating
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4
"realme P3x 5G (Midnight Blue, 128 GB)","₹11,499",4.4
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4
"realme P3x 5G (Midnight Blue, 128 GB)","₹11,499",4.4
"MOTOROLA g05 (Plum Red, 64 GB)","₹7,299",4.2
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4
"realme P3x 5G (Midnight Blue, 128 GB)","₹11,499",4.4
"MOTOROLA g05 (Plum Red, 64 GB)","₹7,299",4.2
"POCO C71 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹5,749",3.8
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4
"realme P3x 5G (Midnight Blue, 128 GB)","₹11,499",4.4
"MOTOROLA g05 (Plum Red, 64 GB)","₹7,299",4.2
"POCO C71 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹5,749",3.8
"Samsung Galaxy F07 (Green, 64 GB)","₹6,799",4.3
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,799",4.2
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)","₹17,999",4.4
